Estimate;Std_Error;z_value;p_value
nps_cluster_1;0.023943;0.314819;0.0761;0.939376
nps_cluster_2;0.127536;0.432564;0.2948;0.768118
porfolio_cluster_1;-0.901535;0.308137;-2.9258;0.003436
porfolio_cluster_2;-0.805115;0.414488;-1.9424;0.052085
porfolio_cluster_3;-0.744304;1.343003;-0.5542;0.579436
porfolio_cluster_4;-0.715268;0.480329;-1.4891;0.136455
fin_cluster_1;-0.183433;1.059316;-0.1732;0.862525
fin_cluster_2;0.581501;0.566143;1.0271;0.304360
fin_cluster_3;-0.152605;0.389735;-0.3916;0.695383
fin_cluster_4;-9.613930;0.897272;-10.7146;< 0.00000000000000022
fin_cluster_5;12.378468;1.233839;10.0325;< 0.00000000000000022
law;-0.503694;0.771326;-0.6530;0.513741
securities;-1.579762;0.674619;-2.3417;0.019196
strategy;0.230941;0.659890;0.3500;0.726362
Н1_CAR;-0.823330;0.493085;-1.6698;0.094968
Н2_liquidity;-0.061445;0.204335;-0.3007;0.763637
Н3_liquidity;0.171809;0.152534;1.1264;0.260010
ROA;-0.099284;7.419790;-0.0134;0.989324
TotalLoans_TotalAssets;1.226682;1.621634;0.7564;0.449381
Z_score;9.736774;8.757721;1.1118;0.266227
gos_sobstv;0.424550;0.390102;1.0883;0.276460
foreign;2.233353;0.833050;2.6809;0.007342
system;2.510913;0.471192;5.3289;0.00000009883
A_Shares;6.436637;6.620950;0.9722;0.330970
A_bonds;1.371506;2.295419;0.5975;0.550176
A_capitals;-6.564880;5.999230;-1.0943;0.273829
A_loro_loans;-9.032399;8.151165;-1.1081;0.267814
A_fixed_assets;-4.639162;5.216967;-0.8892;0.373871
P_deposits_individuals;-1.486310;0.898304;-1.6546;0.098011
P_corporate_funds;-0.247274;1.168595;-0.2116;0.832420
P_capitals;1.134001;2.459567;0.4611;0.644757
