Estimate;Std_Error;z_value;p_value
nps_cluster_1;0.04272632;0.26236058;0.1629;0.8706338
nps_cluster_2;0.00079736;0.39695032;0.0020;0.9983973
porfolio_cluster_1;-0.76515120;0.29084044;-2.6308;0.0085177
porfolio_cluster_2;-0.95299722;0.38413244;-2.4809;0.0131048
porfolio_cluster_3;-0.59057807;1.01265514;-0.5832;0.5597603
porfolio_cluster_4;-0.62621337;0.46919233;-1.3347;0.1819869
fin_cluster_1;-0.32204670;0.96294980;-0.3344;0.7380493
fin_cluster_2;0.58190739;0.48191642;1.2075;0.2272450
fin_cluster_3;-0.07467572;0.35339242;-0.2113;0.8326446
fin_cluster_4;-9.61358885;1.07070320;-8.9788;< 0.00000000000000022
fin_cluster_5;12.37845929;476.70933618;0.0260;0.9792841
law;-0.52623615;0.72980988;-0.7211;0.4708731
securities;-1.64698826;0.64703911;-2.5454;0.0109145
strategy;0.01059826;0.65654812;0.0161;0.9871208
Н1_CAR;-0.69543337;0.48328406;-1.4390;0.1501578
Н2_liquidity;-0.01879358;0.15098761;-0.1245;0.9009423
Н3_liquidity;0.13848414;0.15689087;0.8827;0.3774102
ROA;-0.95414440;5.81957620;-0.1640;0.8697671
TotalLoans_TotalAssets;0.81588025;1.42990050;0.5706;0.5682808
Z_score;10.29670531;7.48849773;1.3750;0.1691306
gos_sobstv;0.32084558;0.37527126;0.8550;0.3925679
foreign;2.08062295;0.59479495;3.4981;0.0004687
system;2.74352544;0.46229985;5.9345;0.000000002947
A_Shares;9.15297329;6.41136750;1.4276;0.1534023
A_bonds;0.74210263;2.12190538;0.3497;0.7265383
A_capitals;-8.29073753;5.10927841;-1.6227;0.1046573
A_loro_loans;-7.84722417;6.68443591;-1.1740;0.2404132
A_fixed_assets;-5.27440544;4.43384240;-1.1896;0.2342119
P_deposits_individuals;-1.56619007;0.88262510;-1.7745;0.0759858
P_corporate_funds;-0.34965479;1.11590767;-0.3133;0.7540249
P_capitals;0.54018112;1.70841080;0.3162;0.7518589
