Estimate;Std_Error;z_value;p_value
nps_cluster_1;-0.275743;1.000000;-0.2757;0.78275
nps_cluster_2;-0.690527;1.000000;-0.6905;0.48986
porfolio_cluster_1;-0.863137;1.000000;-0.8631;0.38806
porfolio_cluster_2;-0.950084;1.000000;-0.9501;0.34207
porfolio_cluster_3;0.031483;1.000000;0.0315;0.97488
porfolio_cluster_4;-0.895534;1.000000;-0.8955;0.37050
fin_cluster_1;1.049846;1.000000;1.0498;0.29379
fin_cluster_2;0.523631;1.000000;0.5236;0.60054
fin_cluster_3;-0.206579;1.000000;-0.2066;0.83634
fin_cluster_4;-9.613589;1.000000;-9.6136;< 0.0000000000000002
fin_cluster_5;12.378459;1.000000;12.3785;< 0.0000000000000002
law;0.031423;1.000000;0.0314;0.97493
securities;-1.088425;1.000000;-1.0884;0.27641
strategy;0.900106;1.000000;0.9001;0.36806
Н1_CAR;-0.886418;1.000000;-0.8864;0.37539
Н2_liquidity;-0.067161;1.000000;-0.0672;0.94645
Н3_liquidity;0.258442;1.000000;0.2584;0.79607
ROA;0.157426;1.000000;0.1574;0.87491
TotalLoans_TotalAssets;0.834543;1.000000;0.8345;0.40398
Z_score;14.471415;1.000000;14.4714;< 0.0000000000000002
gos_sobstv;0.475158;1.000000;0.4752;0.63467
foreign;1.978779;1.000000;1.9788;0.04784
system;11.004231;1.000000;11.0042;< 0.0000000000000002
A_Shares;16.443814;1.000000;16.4438;< 0.0000000000000002
A_bonds;0.274234;1.000000;0.2742;0.78390
A_capitals;-1.125395;1.000000;-1.1254;0.26042
A_loro_loans;-1.581967;1.000000;-1.5820;0.11366
A_fixed_assets;-9.414359;1.000000;-9.4144;< 0.0000000000000002
P_deposits_individuals;-1.494541;1.000000;-1.4945;0.13503
P_corporate_funds;-1.699209;1.000000;-1.6992;0.08928
P_capitals;0.105647;1.000000;0.1056;0.91586
